factor_data_view,factor_model,factor_prompt_template,factor_temperature,mean_input_token_count,mean_output_token_count,mean_schema_completeness,mean_total_duration_seconds,mean_total_token_count,mean_wall_clock_seconds,n_runs
stim_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.5,1130.0,970.666667,1.0,,2100.666667,25.282399,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.0,1184.666667,1123.0,1.0,,2307.666667,27.001677,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.5,1512.0,1374.666667,1.0,,2886.666667,62.018997,3
stim_summary,kimi,prompts/stim_paradigm_anova.md,1.0,1161.0,1417.0,1.0,,2578.0,43.536526,3
stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.0,4151.0,497.0,1.0,,4648.0,12.186753,3
stim_summary,kimi,prompts/stim_paradigm_anova.md,0.0,1161.0,1444.333333,1.0,,2605.333333,28.218347,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.75,6276.0,1366.333333,1.0,,7642.333333,29.976451,3
stim_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.0,1130.0,991.666667,1.0,,2121.666667,20.660455,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.0,1399.666667,960.666667,1.0,,2360.333333,22.847344,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,1.0,6275.0,1459.333333,1.0,,7734.333333,44.428387,3
stim_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.0,1247.0,502.333333,1.0,,1749.333333,12.368319,3
summary_only,kimi,prompts/stim_paradigm_predictive.md,0.25,1003.0,1340.666667,1.0,,2343.666667,25.145047,3
stim_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.75,1130.0,578.333333,1.0,,1708.333333,12.689196,3
stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.25,4151.0,546.0,1.0,,4697.0,12.782397,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.25,1074.0,1019.333333,1.0,,2093.333333,25.450197,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.75,1127.0,1066.333333,1.0,,2193.333333,18.379563,3
stim_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,1.0,1130.0,598.0,1.0,,1728.0,10.890976,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,1.0,1512.0,1375.666667,1.0,,2887.666667,36.900343,3
stim_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.0,1179.0,907.0,1.0,,2086.0,19.905075,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.25,1186.0,1234.666667,1.0,,2420.666667,29.464194,3
summary_only,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.5,961.0,466.0,1.0,,1427.0,6.109044,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.75,6164.0,1069.333333,1.0,,7233.333333,32.936206,3
summary_only,kimi,prompts/stim_paradigm_basic.md,0.75,895.0,1014.333333,1.0,,1909.333333,31.695823,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.5,1185.0,1166.0,1.0,,2351.0,16.178012,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.25,1127.0,1115.333333,1.0,,2242.333333,20.175334,3
stim_summary,kimi,prompts/stim_paradigm_anova.md,0.5,1161.0,1519.333333,1.0,,2680.333333,48.213608,3
stim_and_mouse_summary,kimi,prompts/stim_paradigm_basic.md,0.0,3973.0,1215.666667,1.0,,5188.666667,28.096376,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_predictive.md,1.0,1185.0,1368.333333,1.0,,2553.333333,22.581315,3
stim_summary,kimi,prompts/stim_paradigm_predictive.md,0.0,1217.0,1479.0,1.0,,2696.0,23.873798,3
summary_only,qwen3_5_9b,prompts/stim_paradigm_anova.md,1.0,1126.0,1150.0,1.0,,2276.0,21.758711,3
summary_only,kimi,prompts/stim_paradigm_anova.md,0.25,947.0,1321.666667,1.0,,2268.666667,21.65611,3
stim_summary,kimi,prompts/stim_paradigm_basic.md,0.0,1109.0,1084.0,1.0,,2193.0,15.252841,3
stim_summary,deepseek_v3_1,prompts/stim_paradigm_predictive.md,0.25,1247.0,883.333333,1.0,,2130.333333,23.669339,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_basic.md,1.0,6163.0,1076.666667,1.0,,7239.666667,20.407642,3
summary_only,kimi,prompts/stim_paradigm_anova.md,1.0,947.0,1248.0,1.0,,2195.0,33.334641,3
summary_only,kimi,prompts/stim_paradigm_predictive.md,0.75,1003.0,1299.333333,1.0,,2302.333333,52.181751,3
stim_and_mouse_summary,kimi,prompts/stim_paradigm_basic.md,0.75,3973.0,1340.666667,1.0,,5313.666667,40.254062,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_predictive.md,0.75,1513.0,1318.0,1.0,,2831.0,30.491357,3
stim_summary,kimi,prompts/stim_paradigm_basic.md,1.0,1109.0,1244.333333,1.0,,2353.333333,26.143034,3
stim_and_mouse_summary,kimi,prompts/stim_paradigm_predictive.md,0.5,4081.0,1607.666667,1.0,,5688.666667,28.429745,3
summary_only,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.25,912.0,902.0,1.0,,1814.0,23.50082,3
stim_summary,kimi,prompts/stim_paradigm_basic.md,0.5,1109.0,1062.333333,1.0,,2171.333333,23.617222,3
stim_and_mouse_summary,kimi,prompts/stim_paradigm_basic.md,0.25,3973.0,1267.333333,1.0,,5240.333333,16.336641,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.25,6217.0,1303.333333,1.0,,7520.333333,24.148334,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.0,6215.666667,1088.0,1.0,,7303.666667,24.705778,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.25,1454.0,1121.666667,1.0,,2575.666667,19.81482,3
stim_and_mouse_summary,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.0,6162.666667,994.0,1.0,,7156.666667,17.118504,3
summary_only,deepseek_v3_1,prompts/stim_paradigm_basic.md,1.0,912.0,521.0,1.0,,1433.0,13.220124,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.75,1401.0,928.666667,1.0,,2329.666667,29.976638,3
stim_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.5,1179.0,473.333333,1.0,,1652.333333,10.912789,3
stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.5,4083.0,494.333333,1.0,,4577.333333,12.550458,3
stim_and_mouse_summary,kimi,prompts/stim_paradigm_predictive.md,0.0,4081.0,1348.666667,1.0,,5429.666667,45.238118,3
stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_basic.md,0.5,4034.0,1028.333333,1.0,,5062.333333,24.709952,3
stim_and_mouse_summary,kimi,prompts/stim_paradigm_predictive.md,0.25,4081.0,1373.333333,1.0,,5454.333333,34.527054,3
stim_and_mouse_summary,kimi,prompts/stim_paradigm_predictive.md,0.75,4081.0,1663.333333,1.0,,5744.333333,83.75947,3
summary_only,kimi,prompts/stim_paradigm_predictive.md,0.5,1003.0,1244.333333,1.0,,2247.333333,24.673504,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_basic.md,0.25,1401.0,984.666667,1.0,,2385.666667,24.916591,3
stim_summary,qwen3_5_9b,prompts/stim_paradigm_anova.md,0.5,1453.0,1320.666667,1.0,,2773.666667,32.982056,3
stim_and_mouse_summary,deepseek_v3_1,prompts/stim_paradigm_anova.md,0.75,4083.0,1037.666667,1.0,,5120.666667,23.297884,3
